provider_name,provider_type,address,emirate
Towar Health Centre (DHA),Clinic,Near Ministry Of Culture Youth 17 A St Al Nahda Road Al Twar 1,Dubai
Transform Specialist Medical Centre Llc,Clinic,"218 Al Shafar Bldg 7 Al Wasl Rd., Al Badaa Jumeirah 1",Dubai
Ultra Care Medical (Excl Dr. Catherine),Clinic,"307,308; 3Rd Floorsheikha Mari Maktoum Street Baniyas Square",Dubai
Ultra Care Med-Safa(Excl Dr. Catherine),Clinic,Villa 831P Wasl Road Safa 2,Dubai
Unicare Medical Center-Mankhool Br (Umc),Clinic,Villa 172 Mankhool Street Jafiliya,Dubai
Unicare Medical Centre (Umc),Clinic,"Burjuman Centre Ground Level N Burjuman Centre Burjuman,Bur Dubai",Dubai
Union Medical Centre (Aster),Clinic,"Wall Street Exchange Center Iranian Scho0L Road Karama,Bur Dubai",Dubai
Uptodate Medicare Centre,Clinic,"Flat # 116, 1St Floor, Ahmed A Dhiyafah Road Hudaiba,Bur Dubai",Dubai
Vasan Eye Care Llc,Clinic,"Zabeel Plaza Building, Zabeel Road Karama",Dubai
Vcare Polyclinic Llc,Clinic,Nasmah Tower Al Ittihad Road Al Nahdah 1,Dubai
Vida Clinics L.L.C (Branch),Clinic,"Al Madina Hypermarket Bldg 6A ,Street 10 Muhaisanah/1",Dubai
Vida Clinics Llc,Clinic,"Al Rais Shopping Centre,39 B M Mezzanine Floor, Nearby Khaleej Centre,Burdubai",Dubai
Vitalite Health And Wellness Center Llc,Clinic,"Shop F20 Mudon Community Center, Mudon",Dubai
We Care Medical Center Llc,Clinic,"Hamsah Building,Ground Floor Karama Ansar Gallery Khalid Bin Waleed Road, Karama",Dubai
Wellbeing Medical Center,Clinic,"Opposite J3 Mall Jumeirah Beach, Al Wasl Rd Jumeirah 3, Umm Suqueim 2",Dubai
Westminster Ortho Med Clinic Fz-Llc Dhcc,Clinic,Health Care City Block A Ibn Sina Building 27 Dubai Healthcare City,Dubai
Xie He Medical Center,Clinic,A12 Building China Cluster International City,Dubai
Zaabeel Health Center (DHA),Clinic,Near Club Roundabout Zabeel 2 ,Dubai
Zahrat Al Shefa Medical Centre,Clinic,Al Ghaith Building Near Jubily Supermarket Muhaisnah,Dubai
Al Hashmi Medical Center (Natfuj),Clinic,"Office # 105 & 106, 1St Floor, Khorfakkan Main Street Khorfakkan Main Street",Fujairah
Al Hayl Medical Centre,Clinic,Al Hayl Medical Centre Building  Opposite Fujairah Plastic Factory Al Hayl,Fujairah
Al Sharq Medical Center - Al Etihad,Clinic,Near Safeer Supermarket Sharqi Street Etihad,Fujairah
Al Sharq Medical Center - Dibba,Clinic,Dibba Murabah Street Dibba Murabah Street Dibba,Fujairah
Al Shifa Medical Center,Clinic,Opposite Masjid Omar Sheikh Khalid Road Sheikh Khalid Road,Fujairah
Alahli Medical Centre Llc,Clinic,Hsbc Bank Building All 1St Floor Hamad Bin Abdull Fujairah,Fujairah
Alfa Clinical Llc,Clinic,Hm Beauty Center Bldg Al Basara Road Near Fujairah Al Faseel,Fujairah
Aster Medical Center Fujairah Branch,Clinic,Hamad Bin Abdullah Street Hamad Bin Abdullah Street Town Centre,Fujairah
Emirates Medical Centre,Clinic,Nasser Ali Khammas Building Op Sheikh Zayed Bin Sultan Road Sheikh Zayed Bin Sultan Road,Fujairah
Life Care Medical Clinic Llc,Clinic,Al Hail Bldg. Room101 Kalba Industrial Area Al Gurfa,Fujairah
Makkah Medical Center,Clinic,Barakt Building Eid Musallah : Mahhata,Fujairah
National Medical Centre (Natfuj),Clinic,"Saeed Samsoon Building,Near Fo Ghurfah Street Gurfa Street",Fujairah
Northern Al Ahliah Medical Centre - Fuja,Clinic,Northern Al Ahliah Medical Com Hamad Bin Abdullah Road Al Gurfa,Fujairah
Salsabeel Medical Center,Clinic,Dibba Opp Rashidiya Garden Dibba,Fujairah
Thumbay Clinic Fujairah,Clinic,Oppositefatimashoppingmall Shaikh Zayed Bin Sultan Rd -  ,Fujairah
Al Afia Medical Center Llc,Clinic,Al Hamra Real Estate Bldg Gf Port Road Al Jazeerah,Ras Al Khaimah
Al Ahlia Medical Centre_Rak,Clinic,Creek Plaza Building Al Jazah Road ,Ras Al Khaimah
Al Amal Specialist Clinic,Clinic,"Office # 02, 1St Floor, Sheikh Oman Street Seer",Ras Al Khaimah
Al Farabi Specialist Clinic,Clinic,"Office # 402, 4Th Floor, Dubai Muntaser Street Nakheel",Ras Al Khaimah
Al Ghail Medical Centre(Shams),Clinic,Al Ghail Shopping Centre Mohd.Shaams Rashid Almazrooi B Al Ghail,Ras Al Khaimah
Al Jazeerah Medical Centre,Clinic,"Building # 92, Al Jazeerah Al Rak Main Market Street ",Ras Al Khaimah
Al Rafidain Medical Center Llc,Clinic,Al Musafri Building Ground Floor Al Kharran 1,Ras Al Khaimah
Al Shifa General Medical Clinic,Clinic,Ayahath Ali Saif Bldg Al Ghail Main Road Al Ghain Main Road,Ras Al Khaimah
Arafa Medical Center,Clinic,"Office # 105, 1St Floor, Al Ji Nakheel Nakheel",Ras Al Khaimah
Aster Medical Centre Rak Br. (Moopens),Clinic,Groun Flr Muntasir Bldg Muntasir Road Al Nakheel,Ras Al Khaimah
Corniche Medical Centre,Clinic,Ministry Of Information Buildi Oman Street Nakheel,Ras Al Khaimah
Cosmetic Dermatology Clinic,Clinic,"Office # 102, 1St Floor, Inter Muntaser Street Nakheel",Ras Al Khaimah
Crown Medical Center L.L.C,Clinic,Near Naeem Center Sheikh Rashed Bin Saed Road Al Dhait,Ras Al Khaimah
Dr. Murtada Clinic,Clinic,"Office # 3, 2Nd Floor, Sheikh Zagir Bin Khalid Building, Near Al Nakheel Hotel Muntasir Road Seer",Ras Al Khaimah
Emirates Cardiology Clinic,Clinic,Ns Tower 303  Near Mangrove Hotel Dafan,Ras Al Khaimah
Emirates Hospitals And Clinics Llc Ras Al Khaimah,Clinic,Julphar Towers Near To Cbi Bank Alnakheel,Ras Al Khaimah
European Medical Center,Clinic,"Corniche Al Qawassim, N.S Tower Building 1St Floor- Room 102 Dafan Al Khor",Ras Al Khaimah
Health Medical Center,Clinic,Villa Number 7 Ground Floor Khuzam,Ras Al Khaimah
Hudaibah Medical Centre,Clinic,"1St Floor, Al Hudaibah Buildin Sheikh Saqr Bin Mohammed Qassi Seer",Ras Al Khaimah
International Medical Center Rak,Clinic,Villa 5 (Opp. Rak Hotel) Al Warqaa Al Khuzam,Ras Al Khaimah
Life Check Medical Center Llc,Clinic,Rashid Saif Al Suwaidi Etihad Square Al ¿ Rams Al Rams,Ras Al Khaimah
Maxcare Medical Center,Clinic,"Al Kulaib Building 1St Floor Al Rams Club,Oman Street",Ras Al Khaimah
National Medical Clinic (Rak),Clinic,"1St Floor, Ibn Sina Pharmacy B Faisstreet Sidroh",Ras Al Khaimah
Nexus Medical Center,Clinic,"Al Jazeera Bldg. Shop 13,14,15 Al Jazeera Al Hamra Street Al Jazeera Al Hamra Area",Ras Al Khaimah
Nmc Royal Medical Center,Clinic,"Ground Floor, Sultan Fadel Bui Qawasim Corniche Road Sidroh",Ras Al Khaimah
Rak Medical Center Galilah,Clinic,Ahmed Laha Bldg Oman Road Shaam Galilah,Ras Al Khaimah
Rak Medical Centre,Clinic,"Ground Floor, G+11 B-01 Backsi  Jazeera Hamra",Ras Al Khaimah
Ras Al Khaimah Medical Centre Al Hamra,Clinic,Al Hamra Village Near Gate No 6 Jazeera,Ras Al Khaimah
Retaj Medical Centre Llc,Clinic,United Insurance Building Sheikh Mohammed Bin Salem Rd Al Dhait,Ras Al Khaimah
Shifa Al Jazeerah Medical Centre Rak,Clinic,"Fathima Supermarket Building,M Oman Street Al Nakheel",Ras Al Khaimah
Specialist'S Medical Centre,Clinic,Sheikh Mohammed Bin Salem Road Sheikh Mohammed Bin Salem Road Hamriya,Ras Al Khaimah
Springs Dental Clinic,Clinic,Villa # 5  Ras Al Khaimah,Ras Al Khaimah
Thumbay Clinic Llc Rak Branch,Clinic,"Opposite Rak Insurance Beside Hilton Roundtree Hotelgolden Crown Resto Bldg, Grd Floor",Ras Al Khaimah
Union Medical And Dental Center Llc,Clinic,Above Video Rafa Behind Sony Bldg Nakheel,Ras Al Khaimah
Abdul Ghani Medical Centre,Clinic,"Al Fardan Center, Block A 208, Corniche Street Buhaira Corniche Road",Sharjah
Abrahams Medical Centre,Clinic,"Rolla Tower, Near Rolla Square Al Zahra Street Rolla Square",Sharjah
Access Abutina Medical Centre (Aster),Clinic,"Shop No.7 Ground Moh. Al Rehma Near Police Stn Al Zahara Sts, Butina",Sharjah
Access Al Rolla Medical Center (Aster),Clinic,"Flat 1,2,3 Adnic Tower Ibrahim Mohamad Al Medfa'A Um Al Tarafa Rolla",Sharjah
Access Clinic Muwailiah (Aster),Clinic,Mubarak Building University Road Muwailiah,Sharjah
Advanced Eye Clinic,Clinic,"Al Fardan Center, Block A 207, Corniche Street Buhaira Corniche Road",Sharjah
Ahlan Medical Center,Clinic,"114 Al Jabri Bldg. Opposite Sahara Centre S115, Al Nahda",Sharjah
Al Afdal Medical Center,Clinic,Shop No 2&3 Al Tawoos Building Al Mahattah,Sharjah
Al Ahalia Regional Medical Centre,Clinic,"Opp. Etisalat Building, Near K Ibrahim Mohammed Al Madfa Stre Al Mussalla",Sharjah
Al Amanah Medical Centre,Clinic,"308, 3Rd Floor, Opp. Lulu Cent Al Sharq Street Al Naba'Ah",Sharjah
Al Azhar Medical Clinic,Clinic,Sajjah Industrial Area  Sharjah,Sharjah
Al Banna Medical Centre,Clinic,"Al Nukhailah Building, Flat 10 King Abdul Aziz Street Al Qasimia",Sharjah
Al Buhairah Medical Centre,Clinic,Aster Al Majaz Pharmacy Buildi Jamal Abdulnaser Street Jamal Abdulnaser Street,Sharjah
Al Bustan Medical Center,Clinic,"Ali Ahmed Saif Building,Invest Fallaj Muallah Street Dhaid",Sharjah
Al Dawli Medical Cosmetic Center,Clinic,Sarh Al Emarat T Al Buhaira Corniche Street  Al Majaz,Sharjah
Al Dunia Medical Centrellc(Liberty),Clinic,Al Shamsi Building Third Industrial Street Industrial Area No-12,Sharjah
Al Emarat  National Medical Center,Clinic,"Al Walled Building, Flat 101-102,Al Etihad Road, New Al Taawun  Al Khan",Sharjah
Al Faiez Medical Center-Shams Grp,Clinic,"Howaidhen Building, Floor 1, F Hatta Road Al Madam",Sharjah
Al Furqan Medical Center,Clinic,Salem Saeed Omai Aljaberi Bldg M-2179 Floor 1 Industrial Area 11,Sharjah
Al Kanary Medical Centre-Shams Group,Clinic,"Ground & Mezzanine Floor, Fath Maliha Road Muwaileh Commercial",Sharjah
Al Madar Medical Center - Sharjah,Clinic,"Al Bassam Tower, Office # 102, Corniche Street Buhaira Corniche Road",Sharjah
Al Maher Specialty Medical Clinic,Clinic,"Above Joy Alukkas Ctr, Near Ro Al Arouba Street Rolla Square",Sharjah
Al Maliha Medical Centre,Clinic,"Office # 201, 2Nd Floor Dhaid, Dhaid Main Street Dhaid",Sharjah
Al Manarah Medical Center,Clinic,Flatnumber:21&22 Buhaira Corniche Al Majaz 3,Sharjah
Al Mansour Medical Center,Clinic,"City Compass Tower, 1St Floor,Corniche Street,Buhaira Corniche Road",Sharjah
Al Minha Medical Centre,Clinic,Mosque End Of Abu Shagara Park Abu Shaghara Park Road Abu Shaghara,Sharjah
Al Muadifi Specialist Medical Centre Llc ,Clinic,Mudaifi Shaikha Saqir Bin Muhammed   Khorfakkan,Sharjah
Al Nahda Medical Center(Liberty),Clinic,Al Daghaya  Tower Bukhara Street No13 Al Nahda,Sharjah
Al Nawras Dental Centre,Clinic,Al Obaid Bldg. 107 & 108 1St Floor Falaj Al Muala Road  Al Dhaid  Al Dhaid,Sharjah
Al Qasimiah Medical Centre Llc,Clinic,Ali Moosa & Songs Building Industrial Area Sajaa Sajaa/Sharjah,Sharjah
Al Rabee Clinic (Liberty),Clinic,Baghlaf Al Zafer Building Near Sharjah College Signal Al Khan Street,Sharjah
Al Rahah Medical Centre Llc,Clinic,"Ind Area @, Sharjah  Ind. Area",Sharjah
Al Rasha Medical Center,Clinic,"205, Humaid Al Owais Building, Al Zahra Street Maysaloon",Sharjah
Al Sabah Medical Centre,Clinic,Al Bhakith Bldg Near National Paint Muwailah,Sharjah
Al Safi Medical Center,Clinic,"Office 2, First Floor,  Al Sajaa Mussafah Industrial Area",Sharjah
Al Salam Medical Centre (Salam),Clinic,208-210 Sheikh Khaled Bldg Al Arouba Rolla,Sharjah
Al Saraf Medical Centre,Clinic,"Opp. Al Majaz Park, Al Majaz B Jamal Abdulnaser Street Al Majaz Park",Sharjah
Al Shams Al Jadeed Medical Centre-Shams,Clinic,"Near Lacnor, Tuba Center Double Cola Road Industrial 4",Sharjah
Al Shams Medical And Diagnostic Centre,Clinic,"Sheikh Faisal Al Qasimi Bldg Suit 113-116,Maliha Road Industrial Area 15 Muweilah",Sharjah
Al Shams Medical Centre-Shams Group,Clinic,Near Caterpillar Roundabout Maliha Road Industrial 15,Sharjah
Al Shifa Al Khaleeji Medical Center Shj,Clinic,Al Shifa Al Khaleej Medical Center Building  Industrial Area 2,Sharjah
Al Shifa Al Uropi Medical Center,Clinic,Near Sahara Centre Al Nadha Street Sharjah,Sharjah
Al Siddiq Clinic,Clinic,"Mohamed Sultan Building, Floor Al Dhaid Main Road Al Dhaid",Sharjah
Al Wahda Medical Centre(Novo ),Clinic,Tami Building 1St Floor Al Nahda Area Near To Al Nahda Park,Sharjah
Al Yamamah Medical Centre,Clinic,1St Flr Enpi Bldg Near Bin Ladin Signal Dubai Rd Industrial Area 10,Sharjah
Al Zeyarat Medical Centre Llc,Clinic,"Sheikh Zayed Street,Samnan",Sharjah
Alwidad Gynacology Obspetrice Infertilit,Clinic,Cornishplazaii Near Marbella Resort Corniche Street,Sharjah
Amala Medical Center,Clinic,"Aqeel Falaknas Building, Al Za  Al Butina",Sharjah
Antony Medical Centre,Clinic,"204-206, Opp. Lulu Centre, Al Al Sharq Street Al Naba'Ah",Sharjah
Arab Doctors Specialist Center,Clinic,"Almansoori Tower, Alqasba R/O Al Taawun St Al Majaz",Sharjah
Arabian Medical Centre,Clinic,"Opposite To Masjid Al Noor,103 Al Majaz 1 Buhaira Corniche Road",Sharjah
Aster Abu Shagharah Medical Center,Clinic,Grnd Flr Aster Bldg. Near Abu Shagara Park Abu Shagara,Sharjah
Aster Al Butina Medical Center,Clinic,Shaikh Majid Bin Saud Bldg Al Sharq St No. 103 Al Butina,Sharjah
Aster Al Nahda Medical Center - 1,Clinic,"Al Shaiba Building Ground Floor, Opp. Carrefour E Al Nahda",Sharjah
Aster Al Nahda Medical Centre - Aster,Clinic,"Showroom 1, Ground Floor Golden Sands Tower Al Nahda",Sharjah
Aster Medical Center - Shj  (Moopens),Clinic,Next To Adnoc Station G Floor King Faisal Street Al Majaz 1,Sharjah
Aster Medical Centre-Muwaileh,Clinic,"Bin Tharyem 8, Ground Floor New Muwaileh",Sharjah
Bissan Medical Centre,Clinic,Golden Tower Building Opposite Of Marbella Resort Al Majaz,Sharjah
Bristol Medical Centre Llc,Clinic,Ground Floor Flat No. 3 14 Juma Al Majid Residential C Al Nahda,Sharjah
Bushra Specialist Medical Centre Ll,Clinic,Al Reem Tower Buhaira Corniche Al Majaz,Sharjah
Central Medical Polyclinic,Clinic,Sul Al Markazi  Next To Al Safeer Centre Khofakkan,Sharjah
Central Poly Clinic (Cph),Clinic,"101, Block D, Al Gaddah Buildi Maliha Road Muwaileh Commercial",Sharjah
Class Medical Centre,Clinic,"Al Saud Tower, Opp: Sharjah Ro Al Arouba Street Gulf Square",Sharjah
Cosmo Health Medical Center Llc,Clinic,Villa No B568 Roundatal Ramla Al Ramla,Sharjah
Crystal Dental Clinic,Clinic,Crystal Plaza B King Faisal Street Buhaira,Sharjah
Cure Medical Center Physiotherapy Llc,Clinic,Asastower Al Khan Corniche St Al Tawuun,Sharjah
Dar Al Salam Medical Center Llc,Clinic,Al Mubarak Hypermarket Buildin Sharjah Industrial Area 3 Sharjah,Sharjah
Deepa Clinic,Clinic,Ali Al Gargash Building Rolla Street Al Mareja Area,Sharjah
Doctors Medical Centre (AAH),Clinic,"Opposite Manama Supermarket, A Al Arouba Street Um Altaraffa",Sharjah
Dooa Medical Clinic,Clinic,Merashid  Fujairah Al Hamriya Free Zone,Sharjah
Dr. Afif Medical Center,Clinic,"United Bank Building, 2Nd Floo King Faissal Street King Faissal Street",Sharjah
Dr. Ali S. Hindi Clinic,Clinic,"Opposite Nissan Showroom, Al T Al Wahda Street Al Wahda Street",Sharjah
Dr. Amal Alqedrah Specialist Clinic,Clinic,"Al Abar Building, 1St Floor, A Wasit Road Al Abar",Sharjah
Dr. Raad Al Qaisi Clinic,Clinic,"Crystal Plaza Block C, 601, 6T Corniche Street Buhaira Corniche Road",Sharjah
Dr. Sanjay Medical Centre,Clinic,"201, Opp. Lulu Centre, Al Muba Al Sharq Street Al Naba'Ah",Sharjah
Dr. Sunny M C (NMC),Clinic,"Dana Plaza, Shaba Complex, 6; Wasit Road Samnan",Sharjah
Dr. Tigani Shaib  Medical Clinic,Clinic,"Al Fardan Center, Block A 206, Corniche Street Buhaira Corniche Road",Sharjah
Dr.Sabaa Medical Centre Llc,Clinic,Majaz Building Jamal Abdulnaser Street Al Majaz Park,Sharjah
Emirates International Medical Center L.L.C,Clinic,Bl966 Al Sharq St Al Riffah And Al Mirgab Sharjah Al Riffah,Sharjah
Eve Medical Centre L.L.C.,Clinic,Villa -159 Al Fayhaa- East Dis Maysaloon,Sharjah
Faheem Tadros Medical Center,Clinic,Aldanatower Buhairah Corniche Al Majaz,Sharjah
First Gulf Medical Center (Advanced Grp),Clinic,Advanced Care Group Al Reem Bldg Maliha Roud Shj-Kalba Roud,Sharjah
Galal Medical Centre Llc,Clinic,Asas Tower Al Taawun Street Alkhan,Sharjah
Ganin Medical Centre,Clinic,Sarah Al Emarat Al Buhaira Corniche Opposite Al Majaz Atage,Sharjah
Goodhealth Specialized Medical Center,Clinic,"101, Al Mansoor (Tiger Bldg), Beside Lulu Supermarket Near Al Nahda Park,",Sharjah
Habib Medical Center,Clinic,"Corniche Plaza 2 Building, Opp Corniche Street Buhaira Corniche Road",Sharjah
Hannover Medical Center,Clinic,Sarah Al Emarat Tower Al Buhaira Corniche  Al Majaz 3,Sharjah
Healers Medical Centre,Clinic,"Behind Emax, Sunrise Supermark King Faisal Street Abu Shaghara",Sharjah
Helal Kalba Medical Center ,Clinic,Maryam Rashid Muhham Bldg. Kalba Industrial Area Kalba,Sharjah
Ideal Medical Centre,Clinic,"Sh. Khalid Building, 102; F-1, Al Arouba Street Um Altaraffa",Sharjah
Ishaq Bin Omran Medical Center Llc,Clinic,Family Health Promotion Center Shk Salem Al Qasimi Street Al Qarayen Area,Sharjah
Laika Medical Center,Clinic,"Al Owans Building, 102, 1St Bl Al Zahra Street Al Naba'Ah",Sharjah
Lamasat Medical Centre,Clinic,Alshamtower Oppsite Sharjah Expo Center Al Taawun,Sharjah
Lebanon Medical Center (Lubnani),Clinic,7Th Flr Majestic Tower Opp Al Nahda Bridge Al Tawoun St,Sharjah
Liberty Medical Center,Clinic,"Shop# 2, Nayeli-3 Bldg King Abdul Aziz Street Abu Shaghara",Sharjah
Life Way Specialized Medical Centre,Clinic,"First Floor, 105 Opp Ansar Ml Al Mamzar",Sharjah
Lifecare Medical Center,Clinic,Sama 2 Bldg. Kind Faisal Road Abu Shagarah,Sharjah
Limar Medical Centre,Clinic,Alshamsibuilding Buhairah Corniche Al Majaz 1,Sharjah
Mampilly Medical Centre,Clinic,"Sheikh Faizal Building, 3Rd Fl Al Arouba Street Um Altaraffa",Sharjah
Marina Medical Center,Clinic,"Mezzanine Floor, Al Soor Build Ibrahim Mohd Al Medfa Street Above Lifeline Ph,Al Soor Area",Sharjah
Medcare Medical Centre - Sharjah,Clinic,Jawhara Building Al Taawun Mall Taawun Street,Sharjah
Medicare Medical Center,Clinic,Old Uae Exchange Building Al Arouba Street Al Ghuwair,Sharjah
Metawi Medical Center,Clinic,"Opposite Nissan Showroom, Al T Al Wahda Street Al Wahda Street",Sharjah
Mgm Medical Centre Llc,Clinic,"Rm 205, Above Suzuki Showroom King Faisal St. King Faisal Area",Sharjah
Minal Specialised Clinic Dermatology,Clinic,"Crystal Plaza, Block C, 401, I Corniche Street Buhaira Corniche Road",Sharjah
Mulk Physiotherapy Centre,Clinic,Crescent House Al Majaz-3   ,Sharjah
N.M.C. Medical Centre Fzc(NMC),Clinic,Ground Floor P Mall Saifzone,Sharjah
Nadeem Medical Centre,Clinic,"1St Flr, Al Talaa Bldg Al Wasit Street Shahba Area",Sharjah
Najm Al Raha Medical Center - L.L.C.,Clinic,Opp. Rolla Park  Al Ghuwair Rolla,Sharjah
New Dr. Sunny M C- Rolla (NMC),Clinic,"Above Joy Alukkas Ctr, 3Rd Flo Al Arouba Street Rolla Square",Sharjah
New M C (Shj) (NMC),Clinic,"Belresheed Tower,1St &2Nd Flr, Corniche Street Buhaira Corniche Road",Sharjah
Noor Al Madinah Medical Center ,Clinic,"Above Pak Ghazi Restaurant,Opp National Paint Maliha Street Sharjah Industrial Area 11",Sharjah
Noor Clinic,Clinic,Yousuf Hamza Alashams Bldg. Arabian Gulf Street Shwaihean,Sharjah
Perfect Medical Center (Novo),Clinic,"Dana Tower,M Flr, Above Damas Al Arouba Street Rolla",Sharjah
Peshawar Medical Centre ,Clinic,"Rolla Mall 309,309,310  3Rd Floor Rolla",Sharjah
Premier Medical Centre Llc,Clinic,Al Guwair Post Office Bldg. Al Arouba Street Al Guwair Rolla,Sharjah
Prime Medical Center Al  Nahda,Clinic,"Shop 7, Ground Flr, Al Roda To Malaka Street Al Nahda",Sharjah
Prime Medical Center Al Qasimia,Clinic,"Near Mashreq Bank, Al Qasimia King Abdul Aziz Street Al Qasimia",Sharjah
Prime Spec Medical Centre (Majaz Branch),Clinic,"2Nd Floor, Safeer Market Bldg, King Faisal Street Al Majaz 1",Sharjah
Prime Specialist Medical Centre 1,Clinic,"Ground Floor, Zero 6 Mall University City Road Al Jurainah",Sharjah
Ravi Medical Centre Llc,Clinic,Alsalehibldg Industrial Area 6 Maliha,Sharjah
Reem Al Nahda Med Diagnostic Ctr (Avivo),Clinic,Al Nahda Next To Al Nahda Park ,Sharjah
Reem Medical Diagnostic Center (Avivo),Clinic,Old Uae Exchange Building Al Arouba Street Al Ghuwair,Sharjah
Reem Specialist Medical Centre (Avivo),Clinic,Old Uae Exchange Building Al Arouba Street Al Ghuwair,Sharjah
Regal Medical Centre,Clinic,Alwadibuilding Near National Paints Kalba Road,Sharjah
Riaz Medical Center,Clinic,Bldg Next To Dr. Sunny Medical Wasit Road Samnan,Sharjah
Right Medical Centre,Clinic,"Office # 101-104, Ground Floor King Faisal Street Abu Shaghara",Sharjah
Sabah Al Noor Medical Centre,Clinic,"Jumbo Sony Building, Mezzanine King Faisal Street Abu Shaghara",Sharjah
Sahar Medical Centre,Clinic,Baba Hassan Building 2Nd Industrial Street Indus Area3,Sharjah
Sahara Medical Centre,Clinic,Al Shaiba Al Nahda Park Al Nahda,Sharjah
Sai Ganesh Pillai Medical Centre,Clinic,Bank Saderat Iran Building Opposite To Uae Exchange Sharjah Rolla,Sharjah
Saifzone Medical Centre (Fzc),Clinic,Clinicf2-42A Ground Floor Saifzone,Sharjah
Sam Specialized Medical Center,Clinic,"Beside Burger King, Union Nati Corniche Street Buhaira Corniche Road",Sharjah
Sana Habib Medical Centre,Clinic,Flat 405/406 Al Marzouqi Tower King Faisal Street Al Qassimiya,Sharjah
Sara Medical Centre,Clinic,Sara Tower Corniche Street Buhaira Corniche Road,Sharjah
Shamal Al Ahalia Medical Centre,Clinic,Al Mutawa Building Sheikh Zayed Street Maysaloon,Sharjah
Sharjah Corniche Medical Centre Ll (AAH),Clinic,Corniche Plaza 2 Corniche Street Buhaira Corniche Road,Sharjah
Sharjah Int'L Holistic Health Center,Clinic,Opp . City Bank Near Dubai National Bank King Abdul Aziz St. Al Qasimia,Sharjah
Shifa Al Jazeera Medical Centre,Clinic,Shaikh Abdullah Ali Al Mahmoud Al Zahra Street Rolla,Sharjah
Siyad Specialist Medical Center,Clinic,"National Paints Roundabout, Ne Maliha Road Muwaileh Commercial",Sharjah
Specialized Medical Centre - Shj,Clinic,"Salem Tower Building, Opp: Al Corniche Street Buhaira Corniche Road",Sharjah
Sunny Al Buhairah Medical Centre (NMC),Clinic,Kakooli Bldg Al Majaz Street Al Majaz,Sharjah
Sunny Al Nahda Medical Centre (NMC),Clinic,Al Shaiba Bldg Al Nahda Park Street Al Nahda,Sharjah
Sunny Halwan Speciality Medical Centre L,Clinic,"Opposite Al Qasmia Hospital Wasit Street Shahba,",Sharjah
Sunny Maysloon Speciality Medical Centre,Clinic,Near Lulu Hypermarket Kuwait Strt May Saloon,Sharjah
Sunny Sharqan Medical Centre Llc (NMC),Clinic,Al Sharqan Ext. Al Arouba St Towards Ajman Sharjah Sharjah,Sharjah
Sunny Speciality Medical Centre (NMC),Clinic,Habib Bank Ag Zurich Building Bank Street Rolla,Sharjah
Sunrise Medical Center Llc (IMH),Clinic,"Al Sour Bldg, Opp Sata Office 7Th St, Mina Road Sharjah",Sharjah
Thumbay Clinic Llc (Shj),Clinic,Samnan Near Cricket Stadium Sharjah,Sharjah
Thumbay Clinic Llc Br 1,Clinic,"Kalba Al Wahda Street, Kalba Kalba Road",Sharjah
Thumbay Clinic Llc Branch 2,Clinic,Behind City Max Hotel Alwahda -1 Abu Shagara,Sharjah
Thumbay Medical&Dental Speciality Center,Clinic,Next To National Paint Roundab Fire Station Road Muwaileh Commercial,Sharjah
Unicare Medical Centre (AAH),Clinic,"Alshamsi Building, 101-104; F- Clock Tower Al Ghuwair",Sharjah
Union Medical Centre ,Clinic,Mirage Residence 2 Geco Signal  3 Industrial Street 3,Sharjah
Venniyil Medical Centre,Clinic,Above Paris House Hold F 1& 2 Corniche Street Shuwaiheen,Sharjah
Yas Medical Centre Llc ,Clinic,"First Class Building,Gf,Near B  Sajah Industrial Area",Sharjah
Zaferulla Medical Centre,Clinic,Grnd Flr Tiger Bldg Mahliha Road Industrial Area 11,Sharjah
Al Khaleej Medical Centre,Clinic,"Ground Floor, Sheikh Ibrahim B King Faizal Road Raas",Umm Al Quwain
Dr. Sunny Medical Centre Llc,Clinic,Shop No 1 Next To Nissan Showroom King Faisal Road,Umm Al Quwain
Thumbay Clinic Llc (Uaq),Clinic,"King Faisal Street Al Ras, Uaq ",Umm Al Quwain
Al Jawhara Dental Clinic(Auh),Dental,"City Tower,Opposite Al Noor Hospital Khalifa Street Khalifa City",Abu Dhabi
Al Safwa Medical Center L.L.C.,Dental,"Office # 603, 6Th Floor, Marjan Plaza Building ,Opp.Hamdan Center Hamdan Street Hamdan Street",Abu Dhabi
Clinica Smile Dental Center L.L.C.,Dental,Bldg. #1 Office No 1 1St Floor Baniyas East 3,Abu Dhabi
Coral Dental Clinic,Dental,"1St Flr, Gold Souq Town Centre  Opposite Al Ain Cooperative Town Center",Abu Dhabi
Dentacare Centre,Dental,"Office # 202, 2Nd Floor, Bin M Hamdan Street Hamdan Street",Abu Dhabi
Gulf Pearl Dental Center,Dental,"Sagar Al Muhairbi Bldg Al Nasser St., ",Abu Dhabi
Hollywood Smile Medical Center,Dental,"31,F-3,Green Tower Building Sheikh Khalifa Street Sheikh Khalifa Street",Abu Dhabi
Oaiss Braces Centre L.L.C.,Dental,H&M Building 3Rd Floor Najdha Al Markazia,Abu Dhabi
Smile Factory Dental Centre Llc,Dental,Villa #54 Behind Al Sharq Mall Mafraq -Auh Al Ain Road Baniyas East,Abu Dhabi
